,municipio_id,latitude,longitude,nombre
66,guadarrama,40.6734454,-4.0893911,Guadarrama
67,hiruela-la,41.0779223,-3.4552928,La Hiruela
68,horcajo-de-la-sierra-aoslos,41.078683,-3.583901523172418,Horcajo de la Sierra-Aoslos
69,horcajuelo-de-la-sierra,41.0601151,-3.5457391,Horcajuelo de la Sierra
70,hoyo-de-manzanares,40.6227334,-3.9072054,Hoyo de Manzanares
71,humanes-de-madrid,40.2508847,-3.8270997,Humanes de Madrid
72,loeches,40.3837901,-3.4092281,Loeches
73,lozoya,40.9513281,-3.7917078,Lozoya
74,lozoyuela-navas-sieteiglesias,40.9263383,-3.6176377,Lozoyuela-Navas-Sieteiglesias
75,madarcos,41.0477311,-3.5821549,Madarcos
76,madrid,40.4167047,-3.7035825,Madrid
77,majadahonda,40.473055,-3.8724138,Majadahonda
78,manzanares-el-real,40.7267632,-3.864981,Manzanares el Real
79,meco,40.553746,-3.3281561,Meco
80,mejorada-del-campo,40.3971785,-3.4896068,Mejorada del Campo
81,miraflores-de-la-sierra,40.8137532,-3.7667236,Miraflores de la Sierra
82,molar-el,40.7347865,-3.584376,El Molar
83,montejo-de-la-sierra,41.0593529,-3.530299,Montejo de la Sierra
84,moraleja-de-enmedio,40.2615532,-3.8612117,Moraleja de Enmedio
85,moralzarzal,40.6791436,-3.9720985,Moralzarzal
86,morata-de-tajuna,40.2294297,-3.4366925,Morata de Tajuña
87,mostoles,40.3238525,-3.8649214,Móstoles
88,navacerrada,40.7287926,-4.0151676,Navacerrada
89,navalafuente,40.8232617,-3.6747292,Navalafuente
90,navalagamella,40.4690591,-4.1227079,Navalagamella
91,navalcarnero,40.2877169,-4.014299,Navalcarnero
92,navarredonda-y-san-mames,41.00736645,-3.7315049706950285,Navarredonda y San Mamés
93,navas-del-rey,40.3863666,-4.2508402,Navas del Rey
94,nuevo-baztan,40.3659255,-3.2443102,Nuevo Baztán
95,olmeda-de-las-fuentes,40.3695225,-3.2213199,Olmeda de las Fuentes
96,orusco-de-tajuna,40.2853409,-3.2096521,Orusco de Tajuña
97,paracuellos-de-jarama,40.5048527,-3.5317621,Paracuellos de Jarama
98,parla,40.2373952,-3.7718902,Parla
99,patones,40.8548194,-3.483954,Patones
100,pedrezuela,40.7451088,-3.6030185,Pedrezuela
101,pelayos-de-la-presa,40.3605272,-4.3334254,Pelayos de la Presa
102,perales-de-tajuna,40.2325718,-3.3517265,Perales de Tajuña
103,pezuela-de-las-torres,40.4186483,-3.1778029,Pezuela de las Torres
104,pinilla-del-valle,40.9261949,-3.8184676,Pinilla del Valle
105,pinto,40.240985,-3.7005072,Pinto
106,pinuecar-gandullas,41.03554635,-3.599475586218161,Piñuécar-Gandullas
107,pozuelo-de-alarcon,40.4346528,-3.814834,Pozuelo de Alarcón
108,pozuelo-del-rey,40.3664055,-3.3200082,Pozuelo del Rey
109,pradena-del-rincon,41.0443369,-3.5402284,Prádena del Rincón
110,puebla-de-la-sierra,41.0121247,-3.4444367,Puebla de la Sierra
111,puentes-viejas-manjiron,40.9654041,-3.5828764,Manjirón
112,quijorna,40.4290833,-4.0565378,Quijorna
113,rascafria,40.9038871,-3.8802853,Rascafría
114,reduena,40.8158054,-3.6039309,Redueña
115,ribatejada,40.6664949,-3.3919178,Ribatejada
116,rivas-vaciamadrid,40.3536054,-3.5310879,Rivas-Vaciamadrid
117,robledillo-de-la-jara,40.9529148,-3.5250504,Robledillo de la Jara
118,robledo-de-chavela,40.5009201,-4.2380999,Robledo de Chavela
119,robregordo,41.1064517,-3.5937466,Robregordo
120,rozas-de-madrid-las,40.4933095,-3.8758396,Las Rozas de Madrid
121,rozas-de-puerto-real,40.3098351,-4.4912111,Rozas de Puerto Real
122,san-agustin-del-guadalix,40.679051,-3.6166004,San Agustín del Guadalix
123,san-fernando-de-henares,40.4248548,-3.5350369,San Fernando de Henares
124,san-lorenzo-de-el-escorial,40.5926673,-4.1471642,San Lorenzo de El Escorial
125,san-martin-de-la-vega,40.2110462,-3.5771806,San Martín de la Vega
126,san-martin-de-valdeiglesias,40.3625,-4.3986503,San Martín de Valdeiglesias
127,san-sebastian-de-los-reyes,40.5473698,-3.6260586,San Sebastián de los Reyes
128,santa-maria-de-la-alameda,40.5958248,-4.2579208,Santa María de la Alameda
129,santorcaz,40.4715789,-3.2335594,Santorcaz
130,santos-de-la-humosa-los,40.5012957,-3.2566803,Los Santos de la Humosa
131,serna-del-monte-la,41.0305793,-3.6252636,La Serna del Monte
132,serranillos-del-valle,40.2044509,-3.8851988,Serranillos del Valle
133,sevilla-la-nueva,40.3475422,-4.0275268,Sevilla la Nueva
134,somosierra,41.133207,-3.581478,Somosierra
135,soto-del-real,40.7534432,-3.7866573,Soto del Real
136,talamanca-de-jarama,40.7454625,-3.5127366,Talamanca de Jarama
137,tielmes,40.2465011,-3.3136206,Tielmes
138,titulcia,40.1379148,-3.5709978,Titulcia
139,torrejon-de-ardoz,40.4587767,-3.4793343,Torrejón de Ardoz
140,torrejon-de-la-calzada,40.2006804,-3.7993298,Torrejón de la Calzada
141,torrejon-de-velasco,40.1869283,-3.7769069,Torrejón de Velasco
142,torrelaguna,40.8277273,-3.538293,Torrelaguna
143,torrelodones,40.5762809,-3.928603,Torrelodones
144,torremocha-de-jarama,40.8358114,-3.4966866,Torremocha de Jarama
145,torres-de-la-alameda,40.4021516,-3.360625,Torres de la Alameda
146,tres-cantos,40.6065826,-3.7065333,Tres Cantos
147,valdaracete,40.2107697,-3.1954758,Valdaracete
148,valdeavero,40.6309749,-3.3329368,Valdeavero
149,valdelaguna,40.1605777,-3.367827,Valdelaguna
150,valdemanco,40.8736636,-3.6636949,Valdemanco
151,valdemaqueda,40.5110297,-4.2977731,Valdemaqueda
152,valdemorillo,40.5016772,-4.0688878,Valdemorillo
153,valdemoro,40.1888604,-3.67143,Valdemoro
154,valdeolmos-alalpardo,40.6385429,-3.4532436,Valdeolmos-Alalpardo
155,valdepielagos,40.7610144,-3.4656251,Valdepiélagos
156,valdetorres-de-jarama,40.6956481,-3.5146559,Valdetorres de Jarama
157,valdilecha,40.2926854,-3.3002096,Valdilecha
158,valverde-de-alcala,40.4180359,-3.2996775,Valverde de Alcalá
159,velilla-de-san-antonio,40.367166,-3.4874435,Velilla de San Antonio
160,vellon-el,40.7677965,-3.5820099,El Vellón
161,venturada,40.7985257,-3.6207369,Venturada
162,villaconejos,40.1040079,-3.4850284,Villaconejos
163,villa-del-prado,40.2764752,-4.3048032,Villa del Prado
164,villalbilla,40.4323665,-3.2987815,Villalbilla
165,villamanrique-de-tajo,40.0686973,-3.240078,Villamanrique de Tajo
166,villamanta,40.2990939,-4.1090399,Villamanta
167,villamantilla,40.3421033,-4.1300303,Villamantilla
168,villanueva-de-la-canada,40.4472106,-4.002795,Villanueva de la Cañada
169,villanueva-del-pardillo,40.4949232,-3.9600065,Villanueva del Pardillo
170,villanueva-de-perales,40.3466066,-4.1012616,Villanueva de Perales
171,villar-del-olmo,40.3364465,-3.2355624,Villar del Olmo
172,villarejo-de-salvanes,40.1683582,-3.2738764,Villarejo de Salvanés
173,villaviciosa-de-odon,40.3573787,-3.9002334,Villaviciosa de Odón
174,villavieja-del-lozoya,41.0063622,-3.6716291,Villavieja del Lozoya
175,zarzalejo,40.5483016,-4.1815899,Zarzalejo
176,cabrera-la,13.3472446,144.7586507,Talofofo
177,leganes,10.785528,122.5888137,Leganes
178,molinos-los,42.3265894,-4.6518131,Calzada de los Molinos
