fecha,cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._precip.__(%),prob._de_nieve_(%),prob._de_tormenta_(%),avisos,dirección_viento,velocidad_del_viento,localizacion_id
2024-08-30 09:00:00,Poco nuboso,15,15,17.0,0.0,0,100,Riesgo,0,70,Riesgo,NO,5,acebeda-la-id28001
2024-08-30 10:00:00,Cubierto,17,17,22.0,0.0,0,90,Riesgo,0,70,Riesgo,SE,7,acebeda-la-id28001
2024-08-30 11:00:00,Cubierto con lluvia escasa,19,19,35.0,1.0,0,77,Riesgo,0,70,Riesgo,S,11,acebeda-la-id28001
2024-08-30 12:00:00,Cubierto con lluvia,21,21,30.0,20.0,0,74,Riesgo,0,70,Riesgo,SE,16,acebeda-la-id28001
2024-08-30 13:00:00,Cubierto con lluvia,23,23,14.0,3.0,0,59,Riesgo,0,70,Riesgo,E,10,acebeda-la-id28001
2024-08-30 14:00:00,Intervalos nubosos con lluvia escasa,24,24,15.0,0.1,0,47,80,0,70,Riesgo,NO,9,acebeda-la-id28001
2024-08-30 15:00:00,Nubes altas,25,25,16.0,0.0,0,44,Riesgo,0,70,Riesgo,SO,7,acebeda-la-id28001
2024-08-30 16:00:00,Nubes altas,25,25,11.0,0.0,0,50,Riesgo,0,70,Sin riesgo,SE,8,acebeda-la-id28001
2024-08-30 17:00:00,Poco nuboso,26,26,13.0,0.0,0,47,Riesgo,0,70,Sin riesgo,S,5,acebeda-la-id28001
2024-08-30 18:00:00,Poco nuboso,25,25,18.0,0.0,0,49,Riesgo,0,70,Sin riesgo,SE,6,acebeda-la-id28001
2024-08-30 19:00:00,Nubes altas,24,24,12.0,0.0,0,48,Riesgo,0,70,Sin riesgo,S,10,acebeda-la-id28001
2024-08-30 20:00:00,Nuboso,24,24,5.0,0.0,0,58,20,0,20,Sin riesgo,S,6,acebeda-la-id28001
2024-08-30 21:00:00,Poco nuboso,21,21,5.0,0.0,0,69,20,0,20,Sin riesgo,NO,3,acebeda-la-id28001
2024-08-30 22:00:00,Poco nuboso,19,19,6.0,0.0,0,77,20,0,20,Sin riesgo,NO,3,acebeda-la-id28001
2024-08-30 23:00:00,Poco nuboso,16,16,6.0,0.0,0,88,20,0,20,Sin riesgo,N,4,acebeda-la-id28001
2024-08-31 00:00:00,Muy nuboso,16,16,5.0,0.0,0,88,20,0,20,Sin riesgo,O,3,acebeda-la-id28001
2024-08-31 01:00:00,Nuboso,16,16,7.0,0.0,0,92,20,0,20,Sin riesgo,O,2,acebeda-la-id28001
2024-08-31 02:00:00,Cielo despejado,16,16,3.0,0.0,0,96,0,0,0,Sin riesgo,SO,3,acebeda-la-id28001
2024-08-31 03:00:00,Nuboso,15,15,5.0,0.0,0,96,0,0,0,Sin riesgo,C,0,acebeda-la-id28001
2024-08-31 04:00:00,Poco nuboso,14,14,3.0,0.0,0,98,0,0,0,Sin riesgo,E,3,acebeda-la-id28001
2024-08-31 05:00:00,Poco nuboso,14,14,9.0,0.0,0,97,0,0,0,Sin riesgo,NO,1,acebeda-la-id28001
2024-08-31 06:00:00,Nuboso,14,14,13.0,0.0,0,93,0,0,0,Sin riesgo,NO,6,acebeda-la-id28001
2024-08-31 07:00:00,Nubes altas,13,13,10.0,0.0,0,97,0,0,0,Sin riesgo,NO,7,acebeda-la-id28001
2024-08-29 12:00:00,Cubierto con tormenta y lluvia escasa,24,24,15.0,0.1,0,64,95,0,70,Riesgo,E,8,ajalvir-id28002
2024-08-29 13:00:00,Cubierto con tormenta y lluvia escasa,26,26,18.0,0.1,0,57,Riesgo,0,70,Riesgo,E,7,ajalvir-id28002
2024-08-29 14:00:00,Nubes altas,27,27,18.0,0.0,0,51,100,0,75,Riesgo,E,8,ajalvir-id28002
2024-08-29 15:00:00,Muy nuboso,28,28,21.0,0.0,0,44,Riesgo,0,75,Riesgo,S,7,ajalvir-id28002
2024-08-29 16:00:00,Nubes altas,27,27,40.0,0.0,0,46,Riesgo,0,75,Riesgo,SO,11,ajalvir-id28002
2024-08-29 17:00:00,Cubierto,25,25,14.0,0.0,0,49,Riesgo,0,75,Riesgo,S,25,ajalvir-id28002
2024-08-29 18:00:00,Cubierto con tormenta y lluvia escasa,26,26,65.0,0.1,0,49,Riesgo,0,75,Riesgo,SO,4,ajalvir-id28002
2024-08-29 19:00:00,Muy nuboso con tormenta y lluvia escasa,24,24,18.0,0.3,0,48,Riesgo,0,75,Riesgo,O,41,ajalvir-id28002
2024-08-29 20:00:00,Nubes altas,22,22,18.0,0.0,0,54,80,0,65,Riesgo,NE,13,ajalvir-id28002
2024-08-29 21:00:00,Nubes altas,21,21,23.0,0.0,0,68,Riesgo,0,65,Riesgo,NE,11,ajalvir-id28002
2024-08-29 22:00:00,Cubierto con lluvia escasa,20,20,17.0,1.0,0,85,Riesgo,0,65,Riesgo,E,9,ajalvir-id28002
2024-08-29 23:00:00,Muy nuboso con lluvia,20,20,24.0,7.0,0,92,Riesgo,0,65,Riesgo,E,5,ajalvir-id28002
2024-08-30 00:00:00,Intervalos nubosos con lluvia escasa,19,19,15.0,0.8,0,86,Riesgo,0,65,Sin riesgo,N,17,ajalvir-id28002
2024-08-30 01:00:00,Cielo despejado,19,19,18.0,0.0,0,93,Riesgo,0,65,Sin riesgo,E,9,ajalvir-id28002
2024-08-30 02:00:00,Intervalos nubosos,19,19,31.0,0.0,0,96,20,0,20,Sin riesgo,N,12,ajalvir-id28002
2024-08-30 03:00:00,Intervalos nubosos,18,18,26.0,0.0,0,96,20,0,20,Sin riesgo,NE,21,ajalvir-id28002
2024-08-30 04:00:00,Intervalos nubosos,18,18,21.0,0.0,0,98,20,0,20,Sin riesgo,N,16,ajalvir-id28002
2024-08-30 05:00:00,Intervalos nubosos,18,18,23.0,0.0,0,100,20,0,20,Sin riesgo,NE,14,ajalvir-id28002
2024-08-30 06:00:00,Intervalos nubosos,18,18,30.0,0.0,0,100,Riesgo,0,20,Sin riesgo,NE,16,ajalvir-id28002
2024-08-30 07:00:00,Intervalos nubosos,17,17,15.0,0.0,0,100,Riesgo,0,20,Sin riesgo,NE,18,ajalvir-id28002
2024-08-30 08:00:00,Muy nuboso,17,17,26.0,0.0,0,100,25,0,25,Riesgo,N,11,ajalvir-id28002
2024-08-30 09:00:00,Muy nuboso,19,19,22.0,0.0,0,96,Riesgo,0,25,Riesgo,NE,17,ajalvir-id28002
2024-08-30 10:00:00,Cubierto,22,22,26.0,0.0,0,86,Riesgo,0,25,Riesgo,E,13,ajalvir-id28002
2024-08-30 11:00:00,Cubierto,24,24,27.0,0.0,0,78,Riesgo,0,25,Riesgo,SE,18,ajalvir-id28002
2024-08-30 12:00:00,Muy nuboso,25,25,28.0,0.0,0,55,Riesgo,0,25,Riesgo,NE,6,ajalvir-id28002
2024-08-30 13:00:00,Nubes altas,26,26,36.0,0.0,0,53,Riesgo,0,25,Riesgo,N,14,ajalvir-id28002
2024-08-30 14:00:00,Cubierto con lluvia escasa,28,29,24.0,0.1,0,51,50,0,50,Riesgo,N,19,ajalvir-id28002
2024-08-30 15:00:00,Cubierto con lluvia escasa,28,29,19.0,0.1,0,52,Riesgo,0,50,Riesgo,NE,14,ajalvir-id28002
2024-08-30 16:00:00,Intervalos nubosos con lluvia escasa,29,29,18.0,0.1,0,48,Riesgo,0,50,Sin riesgo,NE,10,ajalvir-id28002
2024-08-30 17:00:00,Cubierto con lluvia escasa,30,31,15.0,0.1,0,52,Riesgo,0,50,Sin riesgo,NE,10,ajalvir-id28002
2024-08-30 18:00:00,Intervalos nubosos con lluvia escasa,27,28,16.0,0.1,0,62,Riesgo,0,50,Sin riesgo,NE,9,ajalvir-id28002
2024-08-30 19:00:00,Intervalos nubosos con lluvia escasa,23,23,16.0,0.1,0,73,Riesgo,0,50,Sin riesgo,NE,11,ajalvir-id28002
2024-08-30 20:00:00,Nubes altas,24,24,11.0,0.0,0,84,25,0,25,Sin riesgo,NE,10,ajalvir-id28002
2024-08-30 21:00:00,Nubes altas,23,23,14.0,0.0,0,88,25,0,25,Sin riesgo,NE,8,ajalvir-id28002
2024-08-30 22:00:00,Poco nuboso,22,22,15.0,0.0,0,90,25,0,25,Sin riesgo,N,9,ajalvir-id28002
2024-08-30 23:00:00,Cubierto,21,21,13.0,0.0,0,91,25,0,25,Sin riesgo,NE,10,ajalvir-id28002
2024-08-31 00:00:00,Muy nuboso,20,20,9.0,0.0,0,88,25,0,25,Sin riesgo,NE,9,ajalvir-id28002
2024-08-31 01:00:00,Muy nuboso,20,20,10.0,0.0,0,90,25,0,25,Sin riesgo,NE,7,ajalvir-id28002
2024-08-31 02:00:00,Cubierto,20,20,9.0,0.0,0,91,5,0,5,Sin riesgo,NE,6,ajalvir-id28002
2024-08-31 03:00:00,Poco nuboso,19,19,13.0,0.0,0,93,5,0,5,Sin riesgo,E,6,ajalvir-id28002
2024-08-31 04:00:00,Cielo despejado,18,18,18.0,0.0,0,92,5,0,5,Sin riesgo,NE,9,ajalvir-id28002
2024-08-31 05:00:00,Cielo despejado,18,18,18.0,0.0,0,96,5,0,5,Sin riesgo,N,13,ajalvir-id28002
2024-08-31 06:00:00,Cielo despejado,17,17,9.0,0.0,0,94,5,0,5,Sin riesgo,N,11,ajalvir-id28002
2024-08-31 07:00:00,Nubes altas,17,17,10.0,0.0,0,95,5,0,5,Sin riesgo,NE,7,ajalvir-id28002
2024-08-29 12:00:00,Muy nuboso,23,23,23.0,0.0,0,64,90,0,75,Riesgo,E,6,alameda-del-valle-id28003
2024-08-29 13:00:00,Nubes altas,26,26,28.0,0.0,0,50,Riesgo,0,75,Riesgo,E,8,alameda-del-valle-id28003
2024-08-29 14:00:00,Nubes altas,25,25,35.0,0.0,0,50,100,0,75,Riesgo,S,12,alameda-del-valle-id28003
2024-08-29 15:00:00,Nubes altas,24,24,35.0,0.0,0,54,Riesgo,0,75,Riesgo,S,15,alameda-del-valle-id28003
2024-08-29 16:00:00,Poco nuboso,25,25,32.0,0.0,0,48,Riesgo,0,75,Riesgo,S,17,alameda-del-valle-id28003
2024-08-29 17:00:00,Muy nuboso con tormenta y lluvia escasa,25,25,32.0,0.1,0,50,Riesgo,0,75,Riesgo,S,13,alameda-del-valle-id28003
2024-08-29 18:00:00,Cubierto,22,22,37.0,0.0,0,54,Riesgo,0,75,Riesgo,S,15,alameda-del-valle-id28003
2024-08-29 19:00:00,Nubes altas,19,19,14.0,0.0,0,70,Riesgo,0,75,Riesgo,S,18,alameda-del-valle-id28003
2024-08-29 20:00:00,Poco nuboso,20,20,12.0,0.0,0,43,60,0,50,Riesgo,O,6,alameda-del-valle-id28003
2024-08-29 21:00:00,Intervalos nubosos con lluvia escasa,18,18,10.0,0.1,0,56,Riesgo,0,50,Riesgo,NO,6,alameda-del-valle-id28003
2024-08-29 22:00:00,Poco nuboso,16,16,11.0,0.0,0,63,Riesgo,0,50,Riesgo,N,4,alameda-del-valle-id28003
2024-08-29 23:00:00,Cielo despejado,15,15,7.0,0.0,0,69,Riesgo,0,50,Riesgo,NO,6,alameda-del-valle-id28003
2024-08-30 00:00:00,Cielo despejado,13,13,14.0,0.0,0,75,Riesgo,0,50,Sin riesgo,NO,3,alameda-del-valle-id28003
2024-08-30 01:00:00,Cielo despejado,12,12,12.0,0.0,0,78,Riesgo,0,50,Sin riesgo,E,7,alameda-del-valle-id28003
2024-08-30 02:00:00,Poco nuboso,13,13,15.0,0.0,0,88,20,0,20,Sin riesgo,NO,3,alameda-del-valle-id28003
2024-08-30 03:00:00,Poco nuboso,12,12,13.0,0.0,0,89,20,0,20,Sin riesgo,NO,8,alameda-del-valle-id28003
2024-08-30 04:00:00,Poco nuboso,12,12,11.0,0.0,0,93,20,0,20,Sin riesgo,NO,7,alameda-del-valle-id28003
2024-08-30 05:00:00,Poco nuboso,12,12,9.0,0.0,0,95,20,0,20,Sin riesgo,NO,6,alameda-del-valle-id28003
2024-08-30 06:00:00,Poco nuboso,12,12,8.0,0.0,0,95,Riesgo,0,20,Sin riesgo,NO,5,alameda-del-valle-id28003
2024-08-30 07:00:00,Muy nuboso,12,12,8.0,0.0,0,95,Riesgo,0,20,Sin riesgo,NO,4,alameda-del-valle-id28003
2024-08-30 08:00:00,Cielo despejado,11,11,8.0,0.0,0,100,90,0,65,Riesgo,NO,4,alameda-del-valle-id28003
2024-08-30 09:00:00,Cielo despejado,15,15,14.0,0.0,0,93,Riesgo,0,65,Riesgo,O,3,alameda-del-valle-id28003
2024-08-30 10:00:00,Cubierto,18,18,23.0,0.0,0,77,Riesgo,0,65,Riesgo,SE,5,alameda-del-valle-id28003
2024-08-30 11:00:00,Cubierto con lluvia,21,21,25.0,9.0,0,71,Riesgo,0,65,Riesgo,E,10,alameda-del-valle-id28003
2024-08-30 12:00:00,Cubierto con lluvia,23,23,29.0,5.0,0,71,Riesgo,0,65,Riesgo,SE,9,alameda-del-valle-id28003
2024-08-30 13:00:00,Cubierto con lluvia,25,25,23.0,3.0,0,54,Riesgo,0,65,Riesgo,S,12,alameda-del-valle-id28003
2024-08-30 14:00:00,Intervalos nubosos con lluvia escasa,27,27,8.0,0.2,0,42,80,0,65,Riesgo,N,11,alameda-del-valle-id28003
2024-08-30 15:00:00,Muy nuboso,27,27,15.0,0.0,0,45,Riesgo,0,65,Riesgo,S,3,alameda-del-valle-id28003
2024-08-30 16:00:00,Nubes altas,27,27,15.0,0.0,0,44,Riesgo,0,65,Sin riesgo,SE,6,alameda-del-valle-id28003
2024-08-30 17:00:00,Nubes altas,28,28,20.0,0.0,0,41,Riesgo,0,65,Sin riesgo,E,5,alameda-del-valle-id28003
2024-08-30 18:00:00,Poco nuboso,26,26,16.0,0.0,0,39,Riesgo,0,65,Sin riesgo,SE,8,alameda-del-valle-id28003
2024-08-30 19:00:00,Poco nuboso,25,25,11.0,0.0,0,43,Riesgo,0,65,Sin riesgo,E,7,alameda-del-valle-id28003
2024-08-30 20:00:00,Poco nuboso,24,24,12.0,0.0,0,48,25,0,25,Sin riesgo,E,3,alameda-del-valle-id28003
2024-08-30 21:00:00,Poco nuboso,21,21,9.0,0.0,0,55,25,0,25,Sin riesgo,NO,7,alameda-del-valle-id28003
2024-08-30 22:00:00,Poco nuboso,19,19,11.0,0.0,0,67,25,0,25,Sin riesgo,NO,5,alameda-del-valle-id28003
2024-08-30 23:00:00,Nuboso,16,16,10.0,0.0,0,77,25,0,25,Sin riesgo,NO,6,alameda-del-valle-id28003
2024-08-31 00:00:00,Cubierto,15,15,9.0,0.0,0,81,25,0,25,Sin riesgo,NO,6,alameda-del-valle-id28003
2024-08-31 01:00:00,Poco nuboso,14,14,15.0,0.0,0,85,25,0,25,Sin riesgo,NO,4,alameda-del-valle-id28003
2024-08-31 02:00:00,Poco nuboso,13,13,10.0,0.0,0,93,0,0,0,Sin riesgo,N,7,alameda-del-valle-id28003
2024-08-31 03:00:00,Poco nuboso,12,12,11.0,0.0,0,90,0,0,0,Sin riesgo,N,5,alameda-del-valle-id28003
2024-08-31 04:00:00,Poco nuboso,11,11,11.0,0.0,0,93,0,0,0,Sin riesgo,N,6,alameda-del-valle-id28003
2024-08-31 05:00:00,Cielo despejado,12,12,14.0,0.0,0,91,0,0,0,Sin riesgo,N,5,alameda-del-valle-id28003
2024-08-31 06:00:00,Poco nuboso,12,12,13.0,0.0,0,89,0,0,0,Sin riesgo,NO,7,alameda-del-valle-id28003
2024-08-31 07:00:00,Nubes altas,12,12,10.0,0.0,0,86,0,0,0,Sin riesgo,O,7,alameda-del-valle-id28003
2024-08-29 12:00:00,Cubierto con lluvia escasa,25,25,16.0,0.1,0,55,65,0,60,Riesgo,E,8,alamo-el-id28004
2024-08-29 13:00:00,Intervalos nubosos con lluvia escasa,27,27,16.0,0.1,0,48,Riesgo,0,60,Riesgo,E,6,alamo-el-id28004
2024-08-29 14:00:00,Nubes altas,28,28,18.0,0.0,0,42,85,0,70,Riesgo,S,7,alamo-el-id28004
2024-08-29 15:00:00,Cubierto,28,28,22.0,0.0,0,40,Riesgo,0,70,Riesgo,S,7,alamo-el-id28004
2024-08-29 16:00:00,Nubes altas,29,29,39.0,0.0,0,37,Riesgo,0,70,Riesgo,S,11,alamo-el-id28004
2024-08-29 17:00:00,Cubierto con lluvia escasa,29,29,58.0,1.0,0,38,Riesgo,0,70,Riesgo,SE,17,alamo-el-id28004
2024-08-29 18:00:00,Intervalos nubosos con lluvia escasa,27,29,25.0,0.4,0,67,Riesgo,0,70,Riesgo,NO,20,alamo-el-id28004
2024-08-29 19:00:00,Muy nuboso,25,25,17.0,0.0,0,72,Riesgo,0,70,Riesgo,E,17,alamo-el-id28004
2024-08-29 20:00:00,Intervalos nubosos con lluvia escasa,23,23,15.0,0.1,0,87,55,0,55,Riesgo,N,12,alamo-el-id28004
2024-08-29 21:00:00,Poco nuboso,21,21,19.0,0.0,0,88,Riesgo,0,55,Riesgo,N,9,alamo-el-id28004
2024-08-29 22:00:00,Poco nuboso,19,19,22.0,0.0,0,99,Riesgo,0,55,Riesgo,NE,13,alamo-el-id28004
2024-08-29 23:00:00,Muy nuboso con lluvia escasa,19,19,19.0,0.1,0,82,Riesgo,0,55,Riesgo,NE,14,alamo-el-id28004
2024-08-30 00:00:00,Muy nuboso,19,19,17.0,0.0,0,86,Riesgo,0,55,Sin riesgo,NE,12,alamo-el-id28004
2024-08-30 01:00:00,Poco nuboso,19,19,19.0,0.0,0,93,Riesgo,0,55,Sin riesgo,N,12,alamo-el-id28004
2024-08-30 02:00:00,Nubes altas,18,18,21.0,0.0,0,94,0,0,0,Sin riesgo,NE,13,alamo-el-id28004
2024-08-30 03:00:00,Cubierto,18,18,24.0,0.0,0,94,0,0,0,Sin riesgo,NE,15,alamo-el-id28004
2024-08-30 04:00:00,Muy nuboso,18,18,26.0,0.0,0,90,0,0,0,Sin riesgo,NE,17,alamo-el-id28004
2024-08-30 05:00:00,Cielo despejado,18,18,26.0,0.0,0,92,0,0,0,Sin riesgo,NE,18,alamo-el-id28004
2024-08-30 06:00:00,Muy nuboso,18,18,23.0,0.0,0,94,Riesgo,0,0,Sin riesgo,NE,18,alamo-el-id28004
2024-08-30 07:00:00,Nuboso,18,18,24.0,0.0,0,95,Riesgo,0,0,Sin riesgo,NE,16,alamo-el-id28004
2024-08-30 08:00:00,Muy nuboso,18,18,22.0,0.0,0,97,10,0,10,Riesgo,NE,17,alamo-el-id28004
2024-08-30 09:00:00,Cubierto,20,20,27.0,0.0,0,90,Riesgo,0,10,Riesgo,NE,14,alamo-el-id28004
2024-08-30 10:00:00,Cubierto,22,22,32.0,0.0,0,81,Riesgo,0,10,Riesgo,E,18,alamo-el-id28004
2024-08-30 11:00:00,Muy nuboso,24,24,33.0,0.0,0,78,Riesgo,0,10,Riesgo,SE,22,alamo-el-id28004
2024-08-30 12:00:00,Nubes altas,25,25,26.0,0.0,0,64,Riesgo,0,10,Riesgo,E,17,alamo-el-id28004
2024-08-30 13:00:00,Nubes altas,27,28,28.0,0.0,0,63,Riesgo,0,10,Riesgo,NE,18,alamo-el-id28004
2024-08-30 14:00:00,Nuboso,28,29,36.0,0.0,0,57,45,0,45,Riesgo,NE,16,alamo-el-id28004
2024-08-30 15:00:00,Nuboso,29,30,32.0,0.0,0,56,Riesgo,0,45,Riesgo,NE,24,alamo-el-id28004
2024-08-30 16:00:00,Nuboso,30,31,24.0,0.0,0,50,Riesgo,0,45,Sin riesgo,NE,20,alamo-el-id28004
2024-08-30 17:00:00,Poco nuboso,31,32,21.0,0.0,0,49,Riesgo,0,45,Sin riesgo,NE,16,alamo-el-id28004
2024-08-30 18:00:00,Cielo despejado,30,32,17.0,0.0,0,56,Riesgo,0,45,Sin riesgo,NE,14,alamo-el-id28004
2024-08-30 19:00:00,Nubes altas,29,31,17.0,0.0,0,62,Riesgo,0,45,Sin riesgo,NE,10,alamo-el-id28004
2024-08-30 20:00:00,Nuboso,28,30,15.0,0.0,0,67,5,0,5,Sin riesgo,NE,12,alamo-el-id28004
2024-08-30 21:00:00,Nubes altas,26,26,20.0,0.0,0,73,5,0,5,Sin riesgo,NE,11,alamo-el-id28004
2024-08-30 22:00:00,Nubes altas,24,24,15.0,0.0,0,80,5,0,5,Sin riesgo,NE,14,alamo-el-id28004
2024-08-30 23:00:00,Poco nuboso,21,21,14.0,0.0,0,90,5,0,5,Sin riesgo,NE,10,alamo-el-id28004
2024-08-31 00:00:00,Poco nuboso,21,21,15.0,0.0,0,91,5,0,5,Sin riesgo,NE,10,alamo-el-id28004
2024-08-31 01:00:00,Muy nuboso,21,21,17.0,0.0,0,89,5,0,5,Sin riesgo,E,11,alamo-el-id28004
2024-08-31 02:00:00,Poco nuboso,21,21,18.0,0.0,0,84,5,0,5,Sin riesgo,E,12,alamo-el-id28004
2024-08-31 03:00:00,Nuboso,20,20,19.0,0.0,0,86,5,0,5,Sin riesgo,E,11,alamo-el-id28004
2024-08-31 04:00:00,Muy nuboso,19,19,13.0,0.0,0,85,5,0,5,Sin riesgo,NE,13,alamo-el-id28004
2024-08-31 05:00:00,Poco nuboso,19,19,12.0,0.0,0,87,5,0,5,Sin riesgo,NE,8,alamo-el-id28004
2024-08-31 06:00:00,Cielo despejado,19,19,10.0,0.0,0,90,5,0,5,Sin riesgo,N,8,alamo-el-id28004
2024-08-31 07:00:00,Nubes altas,18,18,8.0,0.0,0,90,5,0,5,Sin riesgo,NE,6,alamo-el-id28004
2024-08-29 12:00:00,Nuboso con tormenta y lluvia escasa,25,25,18.0,0.1,0,61,100,0,75,Riesgo,SE,8,alcala-de-henares-id28005
2024-08-29 13:00:00,Intervalos nubosos con lluvia escasa,27,28,18.0,0.1,0,55,Riesgo,0,75,Riesgo,E,7,alcala-de-henares-id28005
2024-08-29 14:00:00,Cubierto,28,28,21.0,0.0,0,46,100,0,80,Riesgo,E,5,alcala-de-henares-id28005
2024-08-29 15:00:00,Cubierto,29,29,35.0,0.0,0,42,Riesgo,0,80,Riesgo,S,8,alcala-de-henares-id28005
2024-08-29 16:00:00,Nubes altas,27,27,37.0,0.0,0,49,Riesgo,0,80,Riesgo,S,21,alcala-de-henares-id28005
2024-08-29 17:00:00,Poco nuboso,26,26,30.0,0.0,0,47,Riesgo,0,80,Riesgo,S,22,alcala-de-henares-id28005
2024-08-29 18:00:00,Cubierto,27,27,30.0,0.0,0,42,Riesgo,0,80,Riesgo,S,15,alcala-de-henares-id28005
2024-08-29 19:00:00,Intervalos nubosos con lluvia escasa,25,25,21.0,0.8,0,46,Riesgo,0,80,Riesgo,S,16,alcala-de-henares-id28005
2024-08-29 20:00:00,Muy nuboso,23,23,18.0,0.0,0,68,80,0,70,Riesgo,NE,12,alcala-de-henares-id28005
2024-08-29 21:00:00,Cubierto,22,22,24.0,0.0,0,77,Riesgo,0,70,Riesgo,N,9,alcala-de-henares-id28005
2024-08-29 22:00:00,Cubierto con tormenta,21,21,38.0,6.0,0,88,Riesgo,0,70,Riesgo,N,9,alcala-de-henares-id28005
2024-08-29 23:00:00,Muy nuboso,20,20,38.0,0.0,0,96,Riesgo,0,70,Riesgo,NE,17,alcala-de-henares-id28005
2024-08-30 00:00:00,Poco nuboso,19,19,36.0,0.0,0,97,Riesgo,0,70,Sin riesgo,E,10,alcala-de-henares-id28005
2024-08-30 01:00:00,Cielo despejado,19,19,22.0,0.0,0,97,Riesgo,0,70,Sin riesgo,E,18,alcala-de-henares-id28005
2024-08-30 02:00:00,Poco nuboso,18,18,29.0,0.0,0,100,15,0,15,Sin riesgo,NE,15,alcala-de-henares-id28005
2024-08-30 03:00:00,Nuboso,18,18,24.0,0.0,0,100,15,0,15,Sin riesgo,N,19,alcala-de-henares-id28005
2024-08-30 04:00:00,Muy nuboso,18,18,18.0,0.0,0,100,15,0,15,Sin riesgo,NE,15,alcala-de-henares-id28005
2024-08-30 05:00:00,Cielo despejado,18,18,19.0,0.0,0,100,15,0,15,Sin riesgo,NE,12,alcala-de-henares-id28005
2024-08-30 06:00:00,Nuboso,18,18,21.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,13,alcala-de-henares-id28005
2024-08-30 07:00:00,Poco nuboso,18,18,15.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,14,alcala-de-henares-id28005
2024-08-30 08:00:00,Cubierto,17,17,23.0,0.0,0,100,25,0,25,Riesgo,NE,9,alcala-de-henares-id28005
2024-08-30 09:00:00,Muy nuboso,20,20,16.0,0.0,0,94,Riesgo,0,25,Riesgo,NE,14,alcala-de-henares-id28005
2024-08-30 10:00:00,Cubierto,22,22,30.0,0.0,0,85,Riesgo,0,25,Riesgo,NE,8,alcala-de-henares-id28005
